"","stationcode","objectid","originalid","toxbatchrecordid","sampledate","fieldreplicate","fieldsampleid","labsampleid","sampletypecode","matrixname","methodname","testduration","organismname","toxbatch","toxtestcomments","treatment","concentration","unittreatment","dilution","toxpointmethod","analytename","fractionname","wqsource","timepoint","unitanalytename","repcount","mean","stddev","statisticalmethod","alphavalue","probability","msd","evalthreshold","sigeffect","testqacode","labagencycode","toxsummarycomments","submissionid","lastchangedate","projectcode","record_origin","origin_lastupdatedate","record_publish","globalid","created_user","created_date","last_edited_user","last_edited_date","login_agency","login_email","login_owner","login_year","login_project","ceden_publish","masterid","latitude","longitude","huc","county","smcshed"
"30","407M01516",3176,4935,841,2015-06-24,1,"SMC2_01516","VCF0615.232hya","Grab","samplewater","EPA 821/R-02-013M","7 days","HyAz","ABCL_VCF0615.232hya_W_TOX",NA,"None",-88,"None",100,"None","Survival","None","Not Applicable","Day 7","%",5,42,14.83,"T-test",0.05,0.688,20,30.4,"NSG","None","ABCL",NA,5089,2016-11-01 14:11:23,NA,"SMC",2019-01-23 00:00:00,"true","{EC04F921-1B13-403C-A9D3-25DE2E75584D}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"407M01516",34.25539,-119.25498,407,"Ventura","Santa Clara"
"31","408BA0660",3612,5371,932,2018-06-11,1,"408BA00660","VCF0618.105hya","Grab","sediment","EPA 600/R-99-064","10 days","HyAz","ABCL_VCF0618.105hya_W_TOX",NA,"None",-88,"None",100,"None","Survival","None","Not Applicable","Day 10","%",4,87.5,15,"T-test",0.05,0.319,20,80,"NSG","None","ABCL",NA,5122,2018-11-07 13:21:31,NA,"SMC",2019-01-23 00:00:00,"true","{28DFCA36-BE53-4D7D-8D6F-E18FE1F2D2D8}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"408BA0660",34.26784,-118.93781,408,"Ventura","Calleguas"
"32","408M03005",3148,4907,852,2015-06-15,1,"SMC2_03005","VCF0615.144cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_VCF0615.144cer_W_TOX",NA,"None",-88,"None",100,"None","Young/female","None","Not Applicable","Day 7","Num/Rep",10,22.5,2.273,"T-test",0.05,1,20,13.28,"NSG","None","ABCL",NA,5089,2015-10-13 12:31:02,NA,"SMC",2019-01-23 00:00:00,"true","{A5DF816B-976C-4588-BD86-F729C430E5E9}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"408M03005",34.27001,-118.74203,408,"Ventura","Calleguas"
"33","408M03005",3146,4905,852,2015-06-15,1,"SMC2_03005","VCF0615.144cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_VCF0615.144cer_W_TOX",NA,"None",-88,"None",100,"None","Survival","None","Not Applicable","Day 7","%",10,100,0,"Fisher",0.05,1,20,80,"NSG","None","ABCL",NA,5089,2015-10-13 12:31:02,NA,"SMC",2019-01-23 00:00:00,"true","{2253F914-BFE7-4A2B-A135-8580B3B5E705}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"408M03005",34.27001,-118.74203,408,"Ventura","Calleguas"
"34","408M03015",3156,4915,850,2015-06-15,1,"SMC2_03015","VCF0615.146cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_VCF0615.146cer_W_TOX",NA,"None",-88,"None",100,"None","Young/female","None","Not Applicable","Day 7","Num/Rep",10,22.2,2.974,"T-test",0.05,0.973,20,15.44,"NSG","None","ABCL",NA,5089,2015-10-13 12:31:02,NA,"SMC",2019-01-23 00:00:00,"true","{D1032473-EF25-4E8A-9973-3EC2A0C06121}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"408M03015",34.20947,-118.88115,408,"Ventura","Calleguas"
"35","408M03015",3154,4913,850,2015-06-15,1,"SMC2_03015","VCF0615.146cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_VCF0615.146cer_W_TOX",NA,"None",-88,"None",100,"None","Survival","None","Not Applicable","Day 7","%",10,100,0,"Fisher",0.05,1,20,80,"NSG","None","ABCL",NA,5089,2015-10-13 12:31:02,NA,"SMC",2019-01-23 00:00:00,"true","{CCF6862D-2DFF-4BC4-9F53-DDB7CC7BA01E}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"408M03015",34.20947,-118.88115,408,"Ventura","Calleguas"
"36","408M03019",3190,4949,842,2015-07-14,1,"SMC2_03019","VCF0715.108cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_VCF0715.108cer_W_TOX",NA,"None",-88,"None",100,"None","Survival","None","Not Applicable","Day 7","%",10,100,0,"Fisher",0.05,1,20,80,"NSG","None","ABCL",NA,5089,2015-10-13 12:31:02,NA,"SMC",2019-01-23 00:00:00,"true","{753112C6-4E29-4909-B560-16CF835755E0}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"408M03019",34.26742,-118.94037,408,"Ventura","Calleguas"
"37","408M03019",3192,4951,842,2015-07-14,1,"SMC2_03019","VCF0715.108cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_VCF0715.108cer_W_TOX",NA,"None",-88,"None",100,"None","Young/female","None","Not Applicable","Day 7","Num/Rep",10,11.4,3.373,"T-test",0.05,0,20,21.76,"SL","None","ABCL",NA,5089,2015-10-13 12:31:02,NA,"SMC",2019-01-23 00:00:00,"true","{A737E0E0-6ABD-40D4-98A4-58FBB66B607B}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"408M03019",34.26742,-118.94037,408,"Ventura","Calleguas"
"38","408M03036",3433,5192,876,2016-06-20,1,"408M03036","VCF0616.134chir","Grab","sediment","EPA 600/R-99-064","10 days","ChTe","ABCL_VCF0616.134chir_W_TOX",NA,"None",-88,"None",100,"None","Survival","None","Not Applicable","Day 10","%",5,42,26.83,"T-test",0.05,0,20,80,"SL","None","ABCL",NA,5107,2016-11-17 08:18:13,NA,"SMC",2019-01-23 00:00:00,"true","{3901C8D3-8F4F-4378-8E7E-5EFC3BC42BCF}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"408M03036",34.17991,-119.07852,408,"Ventura","Calleguas"
"39","408M03036",3431,5190,876,2016-06-20,1,"408M03036","VCF0616.134chir","Grab","sediment","EPA 600/R-99-064","10 days","ChTe","ABCL_VCF0616.134chir_W_TOX",NA,"None",-88,"None",100,"None","Biomass (wt/orig indiv)","None","Not Applicable","Day 10","mg/ind",5,0.01898,0.0103,"T-test",0.05,0,20,80,"SL","None","ABCL",NA,5107,2016-11-17 08:18:13,NA,"SMC",2019-01-23 00:00:00,"true","{99C1EA30-8B2B-446C-B1CD-57E7EB6F12B7}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"408M03036",34.17991,-119.07852,408,"Ventura","Calleguas"
"40","408M03036",3437,5196,879,2016-06-20,1,"408M03036","VCF0616.134hy23","Grab","sediment","EPA 600/R-99-064","10 days","HyAz","ABCL_VCF0616.134hy23_W_TOX",NA,"None",-88,"None",100,"None","Survival","None","Not Applicable","Day 10","%",4,2.5,5,"T-test",0.05,0,20,80,"SL","None","ABCL",NA,5107,2016-11-17 08:18:13,NA,"SMC",2019-01-23 00:00:00,"true","{3C8220B4-885E-40D1-9C39-D5C1017467AB}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"408M03036",34.17991,-119.07852,408,"Ventura","Calleguas"
"41","408M03036",3435,5194,877,2016-06-20,1,"408M03036","VCF0616.134hy15","Grab","sediment","EPA 600/R-99-064","10 days","HyAz","ABCL_VCF0616.134hy15_W_TOX",NA,"None",-88,"None",100,"None","Survival","None","Not Applicable","Day 10","%",4,0,0,"Mann-U",0.05,0.014,20,80,"SL","None","ABCL",NA,5107,2016-11-17 08:18:13,NA,"SMC",2019-01-23 00:00:00,"true","{48AE1C99-862A-4A67-A13D-30BF10A0525A}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"408M03036",34.17991,-119.07852,408,"Ventura","Calleguas"
"42","408M03100",3707,84,NA,2019-05-09,1,"408M03100","VCF0519.105hya","Grab","sediment","EPA 600/R-99-064","10 days","HyAz","ABCL_VCF0519.105hya_W_TOX","","None",-88,"None",100,"None","Survival","None","Not Applicable","Day 10","%",4,100,0,"Mann-U",0.05,1,20,80,"NSG","None","ABCL","",NA,NA,"SMC_VCWPD_2019","SMC",2019-10-31 12:10:29,"false","{E83F5225-7DBC-4DC0-A678-83DE3CE7C5EB}","checker",2019-10-31 12:10:29,"checker",2019-10-31 12:10:29,"ABCL","brianna@aquaticbioassay.com","VCWPD","2019","SMC",NA,"408M03100",34.1812,-119.0871,408,"Ventura","Calleguas"
