"","stationcode","objectid","sampleid","sampledate","samplemonth","sampleday","sampleyear","collectionmethodcode","fieldreplicate","databasecode","count","number_of_mmi_iterations","number_of_oe_iterations","pcnt_ambiguous_individuals","pcnt_ambiguous_taxa","e","mean_o","oovere","oovere_percentile","mmi","mmi_percentile","csci","csci_percentile","scoredate","scorenotes","cleaned","rand","processed_by","record_origin","origin_lastupdatedate","record_publish","globalid","created_user","created_date","last_edited_user","last_edited_date","login_email","login_agency","login_owner","login_year","login_project","masterid","latitude","longitude","huc","county","smcshed"
"11","402M00009",1968,"402M00009_06292015_BMI_RWB_1",2015-06-29,6,29,2015,"BMI_RWB",1,NA,98,1,1,1.02040816,7.14285714,12.21310553,3,0.24563777,0,0.33178839,0,0.28871308,0,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","SMC",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00009",34.41824,-119.37505,402,"Ventura","Ventura"
"12","402M00015",1969,"402M00015_06062016_BMI_RWB_1",2016-06-06,6,6,2016,"BMI_RWB",1,NA,600,20,20,0.66666667,2.04081633,7.91690845,6.85,0.86523673,0.24,0.54713875,0.01,0.70618774,0.03,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","SMC",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00015",34.47484,-119.29151,402,"Ventura","Ventura"
"13","402M00029",1970,"402M00029_06062016_BMI_RWB_1",2016-06-06,6,6,2016,"BMI_RWB",1,NA,682,20,20,4.10557185,11.53846154,7.91164327,3,0.37918798,0,0.33045117,0,0.35481957,0,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","SMC",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00029",34.35798,-119.31172,402,"Ventura","Ventura"
"14","402M00030",1971,"402M00030_04192017_BMI_RWB_1",2017-04-19,4,19,2017,"BMI_RWB",1,NA,595,20,20,0,0,8.42827376,6,0.71188955,0.06,0.55021113,0.01,0.63105034,0.01,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","SMC",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00030",34.43881,-119.29959,402,"Ventura","Ventura"
"15","402M00042",1972,"402M00042_04192017_BMI_RWB_1",2017-04-19,4,19,2017,"BMI_RWB",1,NA,599,20,20,0,0,8.42642286,7,0.83072024,0.19,0.50778427,0,0.66925225,0.02,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","SMC",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00042",34.46039,-119.28891,402,"Ventura","Ventura"
"16","402M00046",1973,"402M00046_04262017_BMI_RWB_1",2017-04-26,4,26,2017,"BMI_RWB",1,NA,586,20,20,0.17064846,2.43902439,8.92588155,7.8,0.87386327,0.25,0.64609957,0.02,0.75998142,0.07,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","SMC",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00046",34.42402,-119.30011,402,"Ventura","Ventura"
"17","402M00058",1974,"402M00058_06102019_BMI_RWB_1",2019-06-10,6,10,2019,"BMI_RWB",1,NA,543,20,20,1.4732965,5.71428571,11.21009617,9.75,0.86975168,0.25,0.62032814,0.02,0.74503991,0.06,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","SMC",2020-08-10 16:08:18,"false","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00058",34.44552,-119.29586,402,"Ventura","Ventura"
"18","402M00066",1975,"402M00066_07232018_BMI_RWB_1",2018-07-23,7,23,2018,"BMI_RWB",1,NA,586,20,20,0.34129693,4.34782609,7.70890435,6.9,0.89506883,0.29,0.63507398,0.02,0.76507141,0.07,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","SMC",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00066",34.29325,-119.30742,402,"Ventura","Ventura"
"19","402M00082",1976,"402M00082_07232018_BMI_RWB_1",2018-07-23,7,23,2018,"BMI_RWB",1,NA,312,1,1,1.6025641,12.5,7.70679605,4,0.51902243,0.01,0.3636123,0,0.44131737,0,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","SMC",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00082",34.29004,-119.30801,402,"Ventura","Ventura"
"20","402M00110",1977,"402M00110_06102019_BMI_RWB_1",2019-06-10,6,10,2019,"BMI_RWB",1,NA,509,20,20,2.75049116,9.30232558,12.14996363,12.8,1.0535011,0.61,0.66633041,0.03,0.85991575,0.19,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","SMC",2020-08-10 16:08:18,"false","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00110",34.42735,-119.30364,402,"Ventura","Ventura"
"21","402M00114",1978,"402M00114_06142018_BMI_RWB_1",2018-06-14,6,14,2018,"BMI_RWB",1,NA,576,20,20,1.5625,9.52380952,12.2088385,11.3,0.92555897,0.35,0.76951008,0.1,0.84753452,0.17,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","SMC",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00114",34.41665,-119.37011,402,"Ventura","Ventura"
"22","402M00127",1979,"402M00127_06102019_BMI_RWB_1",2019-06-10,6,10,2019,"BMI_RWB",1,NA,562,20,20,0.17793594,2.5,11.95896915,9.7,0.8111067,0.16,0.53305741,0,0.67208205,0.02,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","SMC",2020-08-10 16:08:18,"false","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00127",34.42503,-119.26342,402,"Ventura","Ventura"
"23","402MJCMHS",1980,"402MJCMHS_04222014_BMI_RWB_1",2014-04-22,4,22,2014,"BMI_RWB",1,NA,573,20,20,0.87260035,5.33333333,12.19198446,13.85,1.13599226,0.76,1.0039037,0.51,1.06994798,0.67,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402MJCMHS",34.5028,-119.3573,402,"Ventura","Ventura"
"24","402MTCUNF",1981,"402MTCUNF_06052012_BMI_RWB_1",2012-06-05,6,5,2012,"BMI_RWB",1,NA,625,20,20,7.04,13.0952381,12.81525115,17.55,1.36946204,0.97,0.89510015,0.28,1.13228109,0.8,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402MTCUNF",34.5175,-119.3792,402,"Ventura","Ventura"
"25","402PS0048",1982,"402PS0048_05212008_BMI_RWB_1",2008-05-21,5,21,2008,"BMI_RWB",1,NA,609,20,20,0.16420361,2.12765957,8.51524282,8.95,1.05105635,0.61,0.94299787,0.38,0.99702711,0.49,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402PS0048",34.53077,-119.40085,402,"Ventura","Ventura"
"26","402S01567",1983,"402S01567_05242017_BMI_RWB_1",2017-05-24,5,24,2017,"BMI_RWB",1,NA,605,20,20,1.16666667,5.66037736,12.30131974,9.95,0.8088563,0.16,0.61783203,0.02,0.71334417,0.04,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMC01567",34.5096,-119.3837,402,"Ventura","Ventura"
"27","402SNPMCR",1984,"402SNPMCR_05082018_BMI_RWB_1",2018-05-08,5,8,2018,"BMI_RWB",1,NA,620,20,20,0.48465267,4.76190476,12.84224462,6.05,0.47110145,0,0.73638455,0.07,0.603743,0.01,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402SNPMCR",34.50509,-119.37741,402,"Ventura","Ventura"
"28","402SNPMCR",1985,"402SNPMCR_05282014_BMI_RWB_1",2014-05-28,5,28,2014,"BMI_RWB",1,NA,615,20,20,0.81300813,6.55737705,12.84224462,14.75,1.14855311,0.78,0.65236446,0.03,0.90045879,0.27,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","SMC",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402SNPMCR",34.50509,-119.37741,402,"Ventura","Ventura"
"29","402SNPMCR",1987,"402SNPMCR_07082014_BMI_RWB_1",2014-07-08,7,8,2014,"BMI_RWB",1,NA,617,20,20,1.7828201,9.23076923,12.84224462,16.7,1.30039572,0.94,0.73977716,0.07,1.02008644,0.55,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","SMC",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402SNPMCR",34.50509,-119.37741,402,"Ventura","Ventura"
"30","402SNPMCR",1986,"402SNPMCR_06182014_BMI_RWB_1",2014-06-18,6,18,2014,"BMI_RWB",1,NA,591,20,20,1.01522843,3.33333333,12.84224462,16.8,1.30818253,0.95,0.68629619,0.04,0.99723936,0.49,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","SMC",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402SNPMCR",34.50509,-119.37741,402,"Ventura","Ventura"
"31","402SNPMCR",1988,"402SNPMCR_07292014_BMI_RWB_1",2014-07-29,7,29,2014,"BMI_RWB",1,NA,638,20,20,4.23197492,8.45070423,12.84224462,12.8,0.9967105,0.49,0.78769233,0.12,0.89220141,0.25,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","SMC",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402SNPMCR",34.50509,-119.37741,402,"Ventura","Ventura"
"32","402WE0536",1991,"402WE0536_06142000_BMI_TRC_1",2000-06-14,6,14,2000,"BMI_TRC",1,NA,480,1,20,0.41666667,2.12765957,11.11216318,13.8,1.24188241,0.9,0.86151809,0.22,1.05170025,0.63,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402WE0536",34.5196,-119.40537,402,"Ventura","Ventura"
"33","402WE0536",1989,"402WE0536_06142000_BMI_CSBP_Trans_1",2000-06-14,6,14,2000,"BMI_CSBP_Trans",1,NA,902,20,20,0.66518847,6.66666667,11.11216318,14.4,1.2958773,0.94,1.01388147,0.53,1.15487938,0.83,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402WE0536",34.5196,-119.40537,402,"Ventura","Ventura"
"34","402WE0536",1990,"402WE0536_06142000_BMI_RWB_1",2000-06-14,6,14,2000,"BMI_RWB",1,NA,502,20,20,0.39840637,1.78571429,11.11216318,14.55,1.30937602,0.95,1.04685233,0.6,1.17811418,0.87,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402WE0536",34.5196,-119.40537,402,"Ventura","Ventura"
"35","402WE0803",1993,"402WE0803_06122001_BMI_RWB_1",2001-06-12,6,12,2001,"BMI_RWB",1,NA,487,1,20,1.02669405,1.96078431,12.28994177,10,0.81367351,0.16,1.21561041,0.89,1.01464196,0.54,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402WE0803",34.42131,-119.3806,402,"Ventura","Ventura"
"36","402WE0803",1994,"402WE0803_06122001_BMI_TRC_1",2001-06-12,6,12,2001,"BMI_TRC",1,NA,497,1,20,0.20120724,3.03030303,12.28994177,11.25,0.91538269,0.33,0.94666753,0.38,0.93102511,0.33,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402WE0803",34.42131,-119.3806,402,"Ventura","Ventura"
"37","402WE0803",1992,"402WE0803_06122001_BMI_CSBP_Trans_1",2001-06-12,6,12,2001,"BMI_CSBP_Trans",1,NA,890,20,20,0.4494382,6.25,12.28994177,11,0.89504086,0.29,0.92623915,0.34,0.91064,0.29,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402WE0803",34.42131,-119.3806,402,"Ventura","Ventura"
"38","402WER001",1995,"402WER001_06042003_BMI_RWB_1",2003-06-04,6,4,2003,"BMI_RWB",1,NA,510,20,20,4.90196078,2.27272727,11.86499833,10.85,0.91445441,0.33,1.11732998,0.74,1.01589219,0.54,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402WER001",34.50528,-119.27806,402,"Ventura","Ventura"
"39","402WER001",1996,"402WER001_06042003_BMI_TRC_1",2003-06-04,6,4,2003,"BMI_TRC",1,NA,517,20,20,0.1934236,2.56410256,11.86499833,12.5,1.0535189,0.61,1.09992753,0.71,1.07672321,0.68,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402WER001",34.50528,-119.27806,402,"Ventura","Ventura"
"40","403BA0015",1997,"403BA0015_05192008_BMI_RWB_1",2008-05-19,5,19,2008,"BMI_RWB",1,NA,577,20,20,4.52173913,3.57142857,7.04899415,7.25,1.02851554,0.56,0.98517561,0.47,1.00684557,0.52,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"403BA0015",34.5312,-119.18421,403,"Ventura","Santa Clara"
"41","403BA0027",1999,"403BA0027_06182014_BMI_RWB_MCM_1",2014-06-18,6,18,2014,"BMI_RWB_MCM",1,NA,591,20,20,5.25423729,15.55555556,6.56734593,6.3,0.95929163,0.42,0.90659145,0.3,0.93294154,0.34,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"403BA0027",34.66254,-119.05249,403,"Ventura","Santa Clara"
"42","403BA0027",1998,"403BA0027_05202008_BMI_RWB_1",2008-05-20,5,20,2008,"BMI_RWB",1,NA,602,20,20,0.16611296,4.16666667,6.56734593,5.65,0.8603171,0.23,0.78696569,0.12,0.82364139,0.14,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"403BA0027",34.66254,-119.05249,403,"Ventura","Santa Clara"
"43","403BA0047",2000,"403BA0047_05152008_BMI_RWB_1",2008-05-15,5,15,2008,"BMI_RWB",1,NA,596,20,20,0,0,7.6849312,2.85,0.37085563,0,0.19084877,0,0.2808522,0,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"403BA0047",34.27084,-119.1524,403,"Ventura","Santa Clara"
"44","403BA0064",2001,"403BA0064_05122008_BMI_RWB_1",2008-05-12,5,12,2008,"BMI_RWB",1,NA,589,20,20,0.67911715,6.81818182,7.90740477,5.95,0.75245927,0.1,0.62896138,0.02,0.69071032,0.03,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"403S00064",34.64435,-118.51371,403,"Los Angeles","Santa Clara"
"45","403BA0064",2002,"403BA0064_06182014_BMI_RWB_1",2014-06-18,6,18,2014,"BMI_RWB",1,NA,617,20,20,1.46579805,7.69230769,7.90740477,8.6,1.08758818,0.68,0.76100835,0.09,0.92429827,0.32,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"403S00064",34.64435,-118.51371,403,"Los Angeles","Santa Clara"
"46","403BA0068",2003,"403BA0068_05142008_BMI_RWB_1",2008-05-14,5,14,2008,"BMI_RWB",1,NA,636,20,20,5.66037736,5,11.84108026,6.95,0.58693969,0.01,0.72187077,0.06,0.65440523,0.02,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"403BA0068",34.39179,-118.90285,403,"Ventura","Santa Clara"
"47","403BA0136",2006,"403BA0136_05252016_BMI_RWB_2",2016-05-25,5,25,2016,"BMI_RWB",2,NA,555,20,20,1.62162162,4.87804878,9.53764831,8.8,0.92265931,0.34,1.093529,0.7,1.00809416,0.52,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"403BA0136",34.51202,-118.45038,403,"Los Angeles","Santa Clara"
"48","403BA0136",2007,"403BA0136_06092015_BMI_RWB_1",2015-06-09,6,9,2015,"BMI_RWB",1,NA,567,20,20,1.41093474,8.33333333,9.53764831,8,0.83878119,0.2,1.0330376,0.57,0.9359094,0.34,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"403BA0136",34.51202,-118.45038,403,"Los Angeles","Santa Clara"
"49","403BA0136",2004,"403BA0136_05132008_BMI_RWB_1",2008-05-13,5,13,2008,"BMI_RWB",1,NA,466,1,20,0,0,9.53764831,10,1.04847649,0.6,1.0976593,0.71,1.0730679,0.68,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"403BA0136",34.51202,-118.45038,403,"Los Angeles","Santa Clara"
"50","403BA0136",2008,"403BA0136_06172014_BMI_RWB_1",2014-06-17,6,17,2014,"BMI_RWB",1,NA,511,20,20,0.97847358,6.52173913,9.53764831,8,0.83878119,0.2,0.75481949,0.09,0.79680034,0.1,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"403BA0136",34.51202,-118.45038,403,"Los Angeles","Santa Clara"
"51","403BA0136",2005,"403BA0136_05252016_BMI_RWB_1",2016-05-25,5,25,2016,"BMI_RWB",1,NA,139,1,1,11.51079137,6.66666667,9.53764831,4,0.41939059,0,0.89184229,0.27,0.65561644,0.02,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"403BA0136",34.51202,-118.45038,403,"Los Angeles","Santa Clara"
"52","403BA0140",2009,"403BA0140_05212008_BMI_RWB_1",2008-05-21,5,21,2008,"BMI_RWB",1,NA,592,20,20,1.01351351,7.69230769,6.94647642,5.55,0.79896622,0.15,0.59449383,0.01,0.69673002,0.03,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"403BA0140",34.34574,-118.56398,403,"Los Angeles","Santa Clara"
"53","403BA0171",2010,"403BA0171_05192008_BMI_RWB_1",2008-05-19,5,19,2008,"BMI_RWB",1,NA,590,20,20,1.3559322,7.14285714,8.03591272,8.1,1.00797511,0.52,1.07762104,0.67,1.04279807,0.61,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"403BA0171",34.58516,-119.28363,403,"Ventura","Santa Clara"
