"","stationcode","objectid","iaas_rowid","aarowid","cramversion","projectname","indexscore","bioticstructure","bufferandlandscapecontext","hydrology","physicalstructure","visitdate","aaname","projectsiteid","wetlandclass","wetlandsubclass","lastupdatedate","record_publish","sampledate","masterid","latitude","longitude","huc","county","smcshed"
"54","403R4S211",695,1211,5111,"6.1","SMC_SWAMP_2016",70,66.67,90.29,50,75,2016-05-03,"San Francisquito","RWB4_SMC_2016","riverine","non-confined",NA,"true",2016-05-03,"403R4S211",34.57232,-118.46287,403,"Los Angeles","Santa Clara"
"55","403R4S211",35,35,4677,"6.1","SMC_SWAMP_2015",66,41.67,90.29,83.33,50,2015-04-28,"403R4S211 San Francisquito downstream of Power Plant","RWB4_SMC_2014","riverine","non-confined",NA,"true",2015-04-28,"403R4S211",34.57232,-118.46287,403,"Los Angeles","Santa Clara"
"56","403S00064",956,884,1573,"5.0.2","SMC_SWAMP_2010",73,53,88,75,75,2010-06-02,"Elizabeth Lake Canyon Creek",NA,"riverine","non-confined",NA,"true",2010-06-02,"403S00064",34.64435,-118.51372,403,"Los Angeles","Santa Clara"
"57","403S00640",850,990,1116,"5.0.2","SMC_SWAMP_2009",82,61,92,75,100,2009-06-04,"Elizabeth Canyon",NA,"riverine","confined",NA,"true",2009-06-04,"403S00640",34.60115,-118.558,403,"Los Angeles","Santa Clara"
"58","403S00772",866,974,1132,"5.0.2","SMC_SWAMP_2009",63,36,79,75,63,2009-05-20,"Sespe Creek upstream of Fillmore",NA,"riverine","non-confined",NA,"true",2009-05-20,"403S00772",34.40976,-118.9322,403,"Ventura","Santa Clara"
"59","403S00831",966,874,1608,"5.0.2","SMC_SWAMP_2010",73,44,92,92,63,2010-06-10,"Hopper Canyon",NA,"riverine","non-confined",NA,"true",2010-06-10,"403S00831",34.43048,-118.8318,403,"Ventura","Santa Clara"
"60","403S00875",968,872,1610,"5.0.2","SMC_SWAMP_2010",84,72,100,75,88,2010-06-24,"Tule Creek",NA,"riverine","non-confined",NA,"true",2010-06-24,"403S00875",34.55668,-119.30629,403,"Ventura","Santa Clara"
"61","403S00960",957,883,1574,"5.0.2","SMC_SWAMP_2010",75,75,88,75,63,2010-06-02,"Clearwater Canyon",NA,"riverine","non-confined",NA,"true",2010-06-02,"403S00960",34.59079,-118.4617,403,"Los Angeles","Santa Clara"
"62","403S01136",1086,754,1862,"5.0.2","SMC_SWAMP_2011",75,56,92,75,75,2011-06-13,"Piru Creek (upper)",NA,"riverine","non-confined",NA,"true",2011-06-13,"403S01136",34.62762,-118.74403,403,"Los Angeles","Santa Clara"
"63","403S01163",855,985,1121,"5.0.2","SMC_SWAMP_2009",83,67,100,75,88,2009-06-08,"Piru Creek",NA,"riverine","confined",NA,"true",2009-06-08,"403S01163",34.69943,-118.86529,403,"Ventura","Santa Clara"
"64","403S01195",851,989,1117,"5.0.2","SMC_SWAMP_2009",83,69,92,83,88,2009-06-10,"Sespe Creek",NA,"riverine","confined",NA,"true",2009-06-10,"403S01195",34.55903,-119.2678,403,"Ventura","Santa Clara"
"65","403S01272",854,986,1120,"5.0.2","SMC_SWAMP_2009",68,47,92,58,75,2009-06-09,"Santa Clara River",NA,"riverine","non-confined",NA,"true",2009-06-09,"403S01272",34.40303,-118.6905,403,"Los Angeles","Santa Clara"
"66","403S01536",1746,1746,6930,"6.1","SWB_RCMP_2019",58,63.89,40.17,66.67,62.5,2019-01-05,"Boquet Creek","RCMP","riverine","non-confined",1900-01-18,"true",2019-01-05,"403S01536",34.56909,-118.39212,403,"Los Angeles","Santa Clara"
"67","403S01536",1055,785,1781,"5.0.2","SMC_SWAMP_2011",64,61,75,58,63,2011-07-12,"Boquet Canyon Creek",NA,"riverine","non-confined",NA,"true",2011-07-12,"403S01536",34.56909,-118.39212,403,"Los Angeles","Santa Clara"
"68","403S01707",959,881,1576,"5.0.2","SMC_SWAMP_2010",78,44,100,92,75,2010-06-07,"Sespe Creek",NA,"riverine","non-confined",NA,"true",2010-06-07,"403S01707",34.59835,-119.34799,403,"Ventura","Santa Clara"
"69","403S01728",1057,783,1785,"5.0.2","SMC_SWAMP_2011",82,78,96,67,88,2011-07-13,"San Francisquito Creek",NA,"riverine","non-confined",NA,"true",2011-07-13,"403S01728",34.5749,-118.46002,403,"Los Angeles","Santa Clara"
"70","403S01784",853,987,1119,"5.0.2","SMC_SWAMP_2009",62,56,75,67,50,2009-06-09,"Santa Clara River",NA,"riverine","non-confined",NA,"true",2009-06-09,"403S01784",34.40228,-118.7471,403,"Ventura","Santa Clara"
"71","403S01883",973,867,1615,"5.0.2","SMC_SWAMP_2010",81,64,100,83,75,2010-06-21,"Lockwood Creek",NA,"riverine","non-confined",NA,"true",2010-06-21,"403S01883",34.71629,-119.0189,403,"Ventura","Santa Clara"
"72","403S02363",1083,757,1859,"5.0.2","SMC_SWAMP_2011",92,86,100,92,88,2011-06-16,"Sespe Creek",NA,"riverine","non-confined",NA,"true",2011-06-16,"403S02363",34.55885,-119.15456,403,"Ventura","Santa Clara"
"73","403S02764",1085,755,1861,"5.0.2","SMC_SWAMP_2011",65,47,83,67,63,2011-06-14,"Piru Creek",NA,"riverine","non-confined",NA,"true",2011-06-14,"403S02764",34.44778,-118.7549,403,"Ventura","Santa Clara"
"74","403S03320",963,877,1605,"5.0.2","SMC_SWAMP_2010",53,56,67,50,38,2010-06-08,"Tapo Canyon Creek",NA,"riverine","non-confined",NA,"true",2010-06-08,"403S03320",34.39996,-118.72346,403,"Ventura","Santa Clara"
"75","403S03643",967,873,1609,"5.0.2","SMC_SWAMP_2010",86,64,100,92,88,2010-06-24,"Sespe Creek 3643",NA,"riverine","non-confined",NA,"true",2010-06-24,"403S03643",34.56213,-119.12891,403,"Ventura","Santa Clara"
"76","403S03832",856,984,1122,"5.0.2","SMC_SWAMP_2009",59,36,79,58,63,2009-06-08,"Piru Creek",NA,"riverine","non-confined",NA,"true",2009-06-08,"403S03832",34.40211,-118.78471,403,"Ventura","Santa Clara"
"77","403S04600",961,879,1603,"5.0.2","SMC_SWAMP_2010",64,53,83,58,63,2010-06-08,"Santa Clara River 4600",NA,"riverine","non-confined",NA,"true",2010-06-08,"SMC04600",34.39728,-118.7105,403,"Ventura","Santa Clara"
"78","403S04868",1084,756,1860,"5.0.2","SMC_SWAMP_2011",66,36,88,75,63,2011-06-15,"Sespe Creek (lower)",NA,"riverine","non-confined",NA,"true",2011-06-15,"403S04868",34.40491,-118.93943,403,"Ventura","Santa Clara"
"79","403S05247",958,882,1575,"5.0.2","SMC_SWAMP_2010",65,44,92,75,50,2010-06-01,"Santa Clara River",NA,"riverine","non-confined",NA,"true",2010-06-01,"403S05247",34.36931,-118.98739,403,"Ventura","Santa Clara"
"80","403S05291",960,880,1578,"5.0.2","SMC_SWAMP_2010",84,58,96,83,100,2010-06-07,"Sespe Creek",NA,"riverine","non-confined",NA,"true",2010-06-07,"403S05291",34.56397,-119.26305,403,"Ventura","Santa Clara"
"81","403S06139",1311,519,2472,"6","SMC_SWAMP_2012",81,69,92,75,88,2012-06-27,"Sespe Creek",NA,"riverine","non-confined",NA,"true",2012-06-27,"403S06139",34.55464,-119.2405,403,"Ventura","Santa Clara"
"82","403S06283",1247,593,2288,"6","SMC_SWAMP_2012",91,94,100,83,88,2012-06-13,"Piru Creek",NA,"riverine","non-confined",NA,"true",2012-06-13,"403S06283",34.69386,-118.86079,403,"Ventura","Santa Clara"
"83","403S06315",1312,518,2473,"6","SMC_SWAMP_2012",83,86,92,67,88,2012-06-27,"Sespe Creek",NA,"riverine","non-confined",NA,"true",2012-06-27,"403S06315",34.59223,-119.31033,403,"Ventura","Santa Clara"
"84","403S06660",1249,591,2294,"6","SMC_SWAMP_2012",73,47,88,83,75,2012-06-14,"Sespe Creek",NA,"riverine","non-confined",NA,"true",2012-06-14,"403S06660",34.42963,-118.92373,403,"Ventura","Santa Clara"
"85","403S06904",965,875,1607,"5.0.2","SMC_SWAMP_2010",62,53,79,67,50,2010-06-09,"Piru Creek",NA,"riverine","non-confined",NA,"true",2010-06-09,"403S06904",34.41964,-118.78769,403,"Ventura","Santa Clara"
"86","403S07024",1248,592,2289,"6","SMC_SWAMP_2012",75,67,92,67,75,2012-06-13,"Piru Creek",NA,"riverine","non-confined",NA,"true",2012-06-13,"403S07024",34.6092,-118.75771,403,"Los Angeles","Santa Clara"
"87","403S07227",1310,520,2471,"6","SMC_SWAMP_2012",78,64,92,67,88,2012-06-27,"Sespe Creek",NA,"riverine","non-confined",NA,"true",2012-06-27,"403S07227",34.56208,-119.16664,403,"Ventura","Santa Clara"
"88","403S11084",964,876,1606,"5.0.2","SMC_SWAMP_2010",66,53,79,67,63,2010-06-09,"Santa Clara River 11084",NA,"riverine","non-confined",NA,"true",2010-06-09,"403S11084",34.42487,-118.56081,403,"Los Angeles","Santa Clara"
"89","403S14156",852,988,1118,"5.0.2","SMC_SWAMP_2009",57,53,71,42,63,2009-06-09,"Santa Clara River",NA,"riverine","non-confined",NA,"true",2009-06-09,"403S14156",34.42523,-118.582,403,"Los Angeles","Santa Clara"
"90","403S15608",962,878,1604,"5.0.2","SMC_SWAMP_2010",62,50,79,67,50,2010-06-10,"Santa Clara River 15608",NA,"riverine","non-confined",NA,"true",2010-06-10,"403S15608",34.4019,-118.70052,403,"Ventura","Santa Clara"
"91","403S16978",1489,351,3237,"6.1","SMC_SWAMP_2013",76,66.67,86.42,75,75,2013-12-17,"Piru Creek 16978","RWB4_SMC_2013","riverine","non-confined",NA,"true",2013-12-17,"403S16978",34.42319,-118.76771,403,"Ventura","Santa Clara"
"92","403S18093",1485,355,3227,"6.1","SMC_SWAMP_2013",87,77.78,100,83.33,87.5,2013-06-24,"Piru Creek 18093","RWB4_SMC_2013","riverine","non-confined",NA,"true",2013-06-24,"403S18093",34.69441,-118.85658,403,"Ventura","Santa Clara"
"93","403S34646",1486,354,3228,"6.1","SMC_SWAMP_2013",68,50,57.92,75,87.5,2013-06-25,"Santa Clara River 34646","RWB4_SMC_2013","riverine","non-confined",NA,"true",2013-06-25,"403S34646",34.42556,-118.56616,403,"Los Angeles","Santa Clara"
"94","403S39062",1487,353,3231,"6.1","SMC_SWAMP_2013",80,80.56,93.29,83.33,62.5,2013-06-25,"Santa Clara River 39062","RWB4_SMC_2013","riverine","non-confined",NA,"true",2013-06-25,"403S39062",34.4323,-118.61744,403,"Los Angeles","Santa Clara"
"95","403STC010",138,138,4381,"6.1","RCMP_ABL_2015",77,36.11,100,83.33,87.5,2015-05-06,"Lion Creek","RCMP","riverine","non-confined",NA,"true",2015-05-06,"403STC010",34.53306,-119.15833,403,"Ventura","Santa Clara"
"96","403STC030",139,139,4380,"6.1","RCMP_ABL_2015",87,77.78,100,83.33,87.5,2015-05-06,"Piedra Blanca Creek","RCMP","riverine","non-confined",NA,"true",2015-05-06,"403STC030",34.57,-119.15556,403,"Ventura","Santa Clara"
"97","403STC064",1046,794,1746,"5.0.2","PSA_RCMP_2011",95,100,100,92,88,2011-07-29,"Bear Canyon Creek 064",NA,"riverine","confined",NA,"true",2011-07-29,"403STC064",34.55806,-119.10361,403,"Ventura","Santa Clara"
"98","403STC064",610,1337,5508,"6.1","RCMP_ABL_2016",83,80.56,100,75,75,2016-06-08,"Bear Canyon Creek 064","403STC064","riverine","non-confined",NA,"true",2016-06-08,"403STC064",34.55806,-119.10361,403,"Ventura","Santa Clara"
"99","403STC086",1041,799,1741,"5.0.2","PSA_RCMP_2011",85,53,100,100,88,2011-06-30,"Rock Creek 086",NA,"riverine","non-confined",NA,"true",2011-06-30,"403STC086",34.55667,-119.20611,403,"Ventura","Santa Clara"
"100","403WE0534",29,29,4687,"6.1","SMC_SWAMP_2015",80,63.89,93.29,75,87.5,2015-06-08,"403WE0534 Piru Creek downstream of Lake Pyramid","RWB4_SMC_2014","riverine","non-confined",NA,"true",2015-06-08,"403WE0534",34.61359,-118.77983,403,"Los Angeles","Santa Clara"
"101","403WE0534",704,1220,5302,"6.1","SMC_SWAMP_2016",79,75,93.29,58.33,87.5,2016-05-23,"Piru Creek d/s of Lake Pyramid","RWB4_SMC_2016","riverine","non-confined",NA,"true",2016-05-23,"403WE0534",34.61359,-118.77983,403,"Los Angeles","Santa Clara"
"102","403WE0535",707,1223,5305,"6.1","SMC_SWAMP_2016",70,63.89,82.92,83.33,50,2016-05-24,"Piru Creek","RWB4_SMC_2016","riverine","non-confined",NA,"true",2016-05-24,"403WE0535",34.43957,-118.75907,403,"Ventura","Santa Clara"
"103","403WE0535",25,25,4691,"6.1","SMC_SWAMP_2015",78,77.78,90.29,58.33,87.5,2015-06-10,"403WE0535 Piru Creek","RWB4_SMC_2014","riverine","non-confined",NA,"true",2015-06-10,"403WE0535",34.43957,-118.75907,403,"Ventura","Santa Clara"
"104","403WE0540",1835,1835,7229,"6.1","RWB4_SMC_2019",85,77.78,100,75,87.5,2019-06-06,"Piru Creek ~1.9 miles upstream from Cedar Creek",NA,"riverine","non-confined",1900-01-18,"true",2019-06-06,"403WE0540",34.65136,-119.11845,403,"Ventura","Santa Clara"
"105","403WE0540",201,201,3895,"6.1","RCMP_SWAMP_2014 ",80,55.56,93.29,83.33,87.5,2014-06-18,"Piru Creek 0540","RCMP 2014","riverine","non-confined",NA,"true",2014-06-18,"403WE0540",34.65136,-119.11845,403,"Ventura","Santa Clara"
"106","403WE0560",1716,1716,6868,"6.1","SMC_SWAMP_2018",88,77.78,93.29,91.67,87.5,2018-04-06,"Sespe Creek ~0.2 miles downstream from Trout Creek.","SMC_SWAMP_2018","riverine","non-confined",1900-01-18,"true",2018-04-06,"403WE0560",34.55841,-119.14079,403,"Ventura","Santa Clara"
"107","403WE0682",711,1227,5317,"6.1","SMC_SWAMP_2016",64,58.33,75,58.33,62.5,2016-05-25,"Boquet Canyon 403WE0682","RWB4_SMC_2016","riverine","non-confined",NA,"true",2016-05-25,"403WE0682",34.57066,-118.38974,403,"Los Angeles","Santa Clara"
"108","403WE0682",28,28,4688,"6.1","SMC_SWAMP_2015",73,66.67,90.29,58.33,75,2015-06-09,"403WE0682 Boquet Canyon","RWB4_SMC_2014","riverine","non-confined",NA,"true",2015-06-09,"403WE0682",34.57066,-118.38974,403,"Los Angeles","Santa Clara"
