"","stationcode","objectid","originalid","projectcode","stationdesc","sampledate","evaluator","determination","determinationcomments","channeltype","structurewidth","structureshape","structureshapecomments","rightsideofstructure","rightvegetation","rightsidecomments","leftsideofstructure","leftvegetation","leftsidecomments","bottom","bottomcomments","vegetation","lowflowpresence","lowflowwidth","gradecontrolpresence","gradecontrollocation","gradecontrolcomments","channelmodcomments","lastchangedate","record_timestamp","app_timestamp","sitetype","novelsite","record_origin","origin_lastupdatedate","record_publish","globalid","created_user","created_date","last_edited_user","last_edited_date","login_agency","login_email","login_owner","login_year","login_project","ceden_publish","masterid","latitude","longitude","huc","county","smcshed"
"22","402M00114",1016,25,"SMC_VCWPD_2018",NA,2018-06-14,"Brianna Jones","Site visit","","Natural","NR","NR","","NR","NR","","NR","NR","","NR","","NR","NR","NR","Absent","NR","","",NA,NA,NA,NA,NA,"SMC",2019-04-05 06:49:25,"true","{67929779-8479-4E98-95E8-36AAB45A9E1F}","checker",2019-04-05 06:49:25,"checker",2019-04-05 06:49:25,"ABCL","jeffb@sccwrp.org","VCWPD","2018","SMC",NA,"402M00114",34.41665,-119.37011,402,"Ventura","Ventura"
"23","402M00127",1087,96,"SMC_VCWPD_2019",NA,2019-06-10,"K. Wisenbaker","Site visit","","Natural","NR","NR","","NR","NR","","NR","NR","","NR","","NR","NR","NR","Absent","NR","","",NA,NA,NA,NA,NA,"SMC",2019-10-30 11:30:03,"false","{FFA454C6-883E-4E8D-994E-A4A4D9D7C83F}","checker",2019-10-30 11:30:03,"checker",2019-10-30 11:30:03,"ABCL","alexis@aquaticbioassay.com","VCWPD","2019","SMC",NA,"402M00127",34.42503,-119.26342,402,"Ventura","Ventura"
"25","402MJCMHS",613,NA,"NotRecorded",NA,1950-01-01,"B.Jones. K.Hahs","Review of historic data",NA,"Natural","NA","NA",NA,"NA","Yes",NA,"NA","Yes",NA,"NA",NA,"Not recorded","NA","NA","Not determined","NA",NA,NA,NA,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{DBA14E65-D0C6-4BCD-9571-E741A906C7D5}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402MJCMHS",34.5028,-119.3573,402,"Ventura","Ventura"
"26","402MTCUNF",614,NA,"NotRecorded",NA,1950-01-01,"K.Hahs","Review of historic data",NA,"Natural","NA","NA",NA,"NA","Yes",NA,"NA","Yes",NA,"NA",NA,"Not recorded","NA","NA","Not determined","NA",NA,NA,NA,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{7DF3B2DF-099E-4B4D-B92A-DBF12E1539E8}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402MTCUNF",34.5175,-119.3792,402,"Ventura","Ventura"
"27","402PS0048",615,NA,"NotRecorded",NA,1950-01-01,"K.Hahs","Review of historic data",NA,"Natural","NA","NA",NA,"NA","Yes",NA,"NA","Yes",NA,"NA",NA,"Not recorded","NA","NA","Not determined","NA",NA,NA,NA,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{3D306F2D-B987-4FC8-BA21-4B08BA854CCB}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402PS0048",34.53077,-119.40085,402,"Ventura","Ventura"
"28","402SNPMCR",616,NA,"SMC_VCWPD_2014","NA",2014-05-28,"B.Jones","Site visit","Review of historic data","Natural",NA,"NA",NA,"NA",NA,NA,"NA",NA,NA,NA,NA,NA,NA,"NA","Absent","NA",NA,"NA",NA,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{1283BB46-F795-4BDD-94A4-BA70B90E3B21}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402SNPMCR",34.50509,-119.37741,402,"Ventura","Ventura"
"29","402WE0536",617,NA,"NotRecorded",NA,1950-01-01,"K.Hahs","Review of historic data",NA,"Natural","NA","NA",NA,"NA","Yes",NA,"NA","Yes",NA,"NA",NA,"Not recorded","NA","NA","Not determined","NA",NA,NA,NA,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{48D374C6-A9AF-4C92-B7EC-513B0B2693EA}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402WE0536",34.5196,-119.40537,402,"Ventura","Ventura"
"30","402WE0803",618,NA,"NotRecorded",NA,1950-01-01,"K.Hahs","Review of historic data",NA,"Natural","NA","NA",NA,"NA","Yes",NA,"NA","Yes",NA,"NA",NA,"Not recorded","NA","NA","Not determined","NA",NA,NA,NA,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{389A689A-8918-4523-A258-29B8758D752A}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402WE0803",34.42131,-119.3806,402,"Ventura","Ventura"
"31","402WER001",619,NA,"NotRecorded",NA,1950-01-01,"K.Hahs","Review of historic data",NA,"Natural","NA","NA",NA,"NA","Yes",NA,"NA","Yes",NA,"NA",NA,"Not recorded","NA","NA","Not determined","NA",NA,NA,NA,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{A0649929-417A-4E9B-907F-BC8AB64FE6F1}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402WER001",34.50528,-119.27806,402,"Ventura","Ventura"
"32","403BA0047",620,NA,"NotRecorded",NA,1950-01-01,"K.Hahs","Review of historic data",NA,"Engineered",">100 m","Natural",NA,"Rock","No",NA,"Rock","No",NA,"Soft/Natural",NA,"Not Recorded","NA","NA","Absent","NA",NA,NA,NA,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{BA667DFC-AF4A-47B1-A07E-C2E4853F239F}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403BA0047",34.27084,-119.1524,403,"Ventura","Santa Clara"
"33","403BA0136",621,174,"RWB4_SMC_2015",NA,2014-06-09,"SM","Site Visit",NA,"Natural","NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA",NA,"NA","NA","NA","Absent","NA",NA,NA,2015-11-13,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{9553EAF6-21BE-4F21-9A8F-B044D526793A}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403BA0136",34.51202,-118.45038,403,"Los Angeles","Santa Clara"
"34","403BA0171",622,NA,"NotRecorded",NA,1950-01-01,"K.Hahs","Review of historic data",NA,"Natural","NA","NA",NA,"NA","Yes",NA,"NA","Yes",NA,"NA",NA,"Not recorded","NA","NA","Not determined","NA",NA,NA,NA,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{8B9A3B4E-7F83-4AB1-A9D5-66FA86B2C46D}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403BA0171",34.58516,-119.28363,403,"Ventura","Santa Clara"
"35","403CE0156",623,180,"RWB4_SMC_2015",NA,2015-06-11,"SM","Site Visit",NA,"Natural","NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA",NA,"NA","NA","NA","Absent","NA",NA,NA,2015-11-13,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{89F5F141-51F4-48F4-B0B5-EB095FC6E341}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403CE0156",34.37746,-119.05968,403,"Ventura","Santa Clara"
"36","403CE0188",624,179,"RWB4_SMC_2015",NA,2015-06-10,"SM","Site Visit",NA,"Engineered","10 to 50 m","Trapezoidal",NA,"Grouted rock","No",NA,"Grouted rock","No",NA,"Soft/Natural",NA,"No","Absent","NA","Absent","NA",NA,NA,2015-11-13,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{4F8C9751-DA20-4B63-9361-4BAFE3CA7C01}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403CE0188",34.35646,-119.04752,403,"Ventura","Santa Clara"
"37","403FCA022",625,NA,"NotRecorded",NA,1950-01-01,"K.Hahs","Review of historic data",NA,"Natural","NA","NA",NA,"NA","Yes",NA,"NA","Yes",NA,"NA",NA,"Not recorded","NA","NA","Not determined","NA",NA,NA,NA,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{252BD724-FEBF-4617-844A-8EFA5D35C8EC}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403FCA022",34.35671,-119.01988,403,"Ventura","Santa Clara"
"38","403LNCASC",626,NA,"NotRecorded",NA,1950-01-01,"K.Hahs","Review of historic data",NA,"Natural","NA","NA",NA,"NA","Yes",NA,"NA","Yes",NA,"NA",NA,"Not recorded","NA","NA","Not determined","NA",NA,NA,NA,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{E3FB42A2-6CD7-433E-B7F3-F261EFA7197D}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403LNCASC",34.53892,-119.16139,403,"Ventura","Santa Clara"
"39","403M01500",901,NA,NA,NA,2016-06-15,"Karin WIsenbaker","Site Visit",NA,"Engineered","5 to 10 m","Trapezoidal",NA,"Concrete",NA,NA,"Concrete",NA,NA,"Concrete",NA,"No","Present","1 to 5 m","Absent",NA,NA,NA,2017-03-07,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{34BB8898-A9CA-44CC-86E4-1318FE423B81}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403M01500",34.29132,-119.14776,403,"Ventura","Santa Clara"
"40","403M01505",1,168,"SMC_VCWPD_2015",NA,2015-06-29,"Karin Wisenbaker","Site Visit",NA,"Engineered","50 to 100 m","Natural","left bank concrete; right bank natural","Earthen","Yes",NA,"Concrete","No",NA,"Soft/Natural",NA,"No","Absent","NA","Absent","NA",NA,NA,2015-11-13,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{AA801F9C-95FC-464F-B77E-8D7B17ACDAE9}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403M01505",34.41709,-118.92546,403,"Ventura","Santa Clara"
"41","403M01506",405,152,"SMC_VCWPD_2015",NA,2015-06-17,"Karin Wisenbaker","Site Visit",NA,"Natural","NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA",NA,"NA","NA","NA","Absent","NA",NA,NA,2015-11-13,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{B21F228A-F64C-48EF-9C87-3F68BC6DB15D}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403M01506",34.39739,-118.79347,403,"Ventura","Santa Clara"
"42","403M01522",902,NA,NA,NA,2016-06-29,"Karin WIsenbaker","Site Visit",NA,"Engineered","50 to 100 m","Natural",NA,"Earthen bare",NA,NA,"Earthen bare",NA,NA,"Soft/Natural",NA,"No","Absent",NA,"Absent",NA,NA,NA,2017-03-07,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{3B410AB8-D6DF-4411-A028-439AC6D06E67}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403M01522",34.41442,-118.78842,403,"Ventura","Santa Clara"
"43","403M01528",903,NA,NA,NA,2016-06-15,"Karin WIsenbaker","Site Visit",NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Absent",NA,NA,NA,2017-03-07,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{64D02F3E-AC41-4E87-871A-147156E845AC}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403M01528",34.27599,-119.14219,403,"Ventura","Santa Clara"
"44","403M01538",384,NA,NA,NA,2017-05-25,"Karin Wisenbaker","Site Visit",NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Absent",NA,NA,NA,2018-05-17,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{549072FE-8F50-407C-B01A-5C4785D4CB24}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403M01538",34.41199,-118.83067,403,"Ventura","Santa Clara"
"45","403M01539",385,NA,NA,NA,2017-04-20,"Wendy Willis","Site Visit",NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Absent",NA,NA,NA,2018-05-17,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{F019C813-7453-4FEC-BBD1-839BBBE4A371}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403M01539",34.54733,-119.16554,403,"Ventura","Santa Clara"
"46","403M01553",386,NA,NA,NA,2017-05-25,"Karin Wisenbaker","Site Visit",NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Absent",NA,NA,NA,2018-05-17,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{14A22732-50CC-46D3-AA2B-CB78A22E93AE}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403M01553",34.43845,-118.92539,403,"Ventura","Santa Clara"
"47","403M01560",1084,93,"SMC_VCWPD_2019",NA,2019-05-15,"A. Wallengren","Site visit","","Natural","NR","NR","","NR","NR","","NR","NR","","NR","","NR","NR","NR","Absent","NR","","",NA,NA,NA,NA,NA,"SMC",2019-10-30 11:30:03,"false","{D9D9ECDC-FE9B-4FF5-8ABC-C8F8FF964BAE}","checker",2019-10-30 11:30:03,"checker",2019-10-30 11:30:03,"ABCL","alexis@aquaticbioassay.com","VCWPD","2019","SMC",NA,"403M01560",34.23545,-119.21253,403,"Ventura","Santa Clara"
"48","403M01565",1017,26,"SMC_VCWPD_2018",NA,2018-06-13,"Karin Wisenbaker","Site visit","","Natural","NR","NR","","NR","NR","","NR","NR","","NR","","NR","NR","NR","Absent","NR","","",NA,NA,NA,NA,NA,"SMC",2019-04-05 06:49:25,"true","{409F268B-B81B-4C51-A12C-31F843D51AA9}","checker",2019-04-05 06:49:25,"checker",2019-04-05 06:49:25,"ABCL","jeffb@sccwrp.org","VCWPD","2018","SMC",NA,"403M01565",34.38023,-119.06545,403,"Ventura","Santa Clara"
"49","403M01571",1092,101,"SMC_VCWPD_2019",NA,2019-06-19,"A. Wallengren","Site visit","","Natural","NR","NR","","NR","NR","","NR","NR","","NR","","NR","NR","NR","Absent","NR","","",NA,NA,NA,NA,NA,"SMC",2019-10-30 11:30:03,"false","{DE4210C1-BE8E-426E-8D99-D7B980FB76C9}","checker",2019-10-30 11:30:03,"checker",2019-10-30 11:30:03,"ABCL","alexis@aquaticbioassay.com","VCWPD","2019","SMC",NA,"403M01571",34.58667,-119.27994,403,"Ventura","Santa Clara"
"51","403M01580",1083,92,"SMC_VCWPD_2019",NA,2019-05-15,"A. Wallengren","Site visit","","Natural","NR","NR","","NR","NR","","NR","NR","","NR","","NR","NR","NR","Absent","NR","","",NA,NA,NA,NA,NA,"SMC",2019-10-30 11:30:03,"false","{AFEB2D8A-9850-4BD0-8F21-305913319C1C}","checker",2019-10-30 11:30:03,"checker",2019-10-30 11:30:03,"ABCL","alexis@aquaticbioassay.com","VCWPD","2019","SMC",NA,"403M01580",34.23495,-119.23075,403,"Ventura","Santa Clara"
"53","403M01626",1018,27,"SMC_VCWPD_2018",NA,2018-06-13,"Karin Wisenbaker","Site visit","","Natural","NR","NR","","NR","NR","","NR","NR","","NR","","NR","NR","NR","Absent","NR","","",NA,NA,NA,NA,NA,"SMC",2019-04-05 06:49:25,"true","{68B123EB-2A50-44BF-B9B9-6AED14090C53}","checker",2019-04-05 06:49:25,"checker",2019-04-05 06:49:25,"ABCL","jeffb@sccwrp.org","VCWPD","2018","SMC",NA,"403M01626",34.43605,-119.0864,403,"Ventura","Santa Clara"
"55","403M05757",406,119,"SMC_LACFCD_2015",NA,2015-06-29,"Damon Owen. Melissa Mathis","Site Visit",NA,"Natural","NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA",NA,"NA","NA","NA","Absent","NA",NA,NA,2015-10-07,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{3449E366-8CEE-4B6A-BFBF-06DF83F1FE29}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403M05757",34.54518,-118.43467,403,"Los Angeles","Santa Clara"
"56","403M05758",407,120,"SMC_LACFCD_2015",NA,2015-06-29,"Damon Owen. Melissa Mathis","Site Visit",NA,"Natural","NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA",NA,"NA","NA","NA","Absent","NA",NA,NA,2015-10-07,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{569878CA-F3E2-44D6-95A9-EE898C822190}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403M05758",34.43484,-118.61254,403,"Los Angeles","Santa Clara"
"57","403M05771",408,118,"SMC_LACFCD_2015",NA,2015-04-30,"Damon Owen. Melissa Mathis","Site Visit",NA,"Natural","NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA",NA,"NA","NA","NA","Absent","NA",NA,NA,2015-10-07,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{415946B7-FEB9-4685-B0EC-A02353549C2A}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403M05771",34.69939,-118.79476,403,"Los Angeles","Santa Clara"
"58","403M05774",904,NA,NA,NA,2016-06-22,"DO/NC","Site Visit",NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Absent",NA,NA,NA,2017-03-07,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{DB44F3B9-DB70-47EE-9974-F77F95B10A32}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403M05774",34.42692,-118.62067,403,"Los Angeles","Santa Clara"
